hotel_train_s_mock,代理商mock,hotel_train_s,,
hotel_train_s_route,行程中心,hotel_train_s,,
hotel_train_s_train_trip,余票系统,hotel_train_s,,
hotel_train_s_honour,交易中心,hotel_train_s,,
hotel_train_s_agent2,自建系统,hotel_train_s,,
hotel_train_s_tbms,TBMS,hotel_train_s,,
hotel_train_s_grab,抢票系统,hotel_train_s,,
hotel_train_s_recommend,推荐,hotel_train_s,,
hotel_train_s_train_agent_gateway,代理商中心,hotel_train_s,,
hotel_train_s_database,基础数据,hotel_train_s,,
hotel_train_s_travel_coach,汽车票,hotel_train_s,,
hotel_train_s_ship_account,船票结算,hotel_train_s,,
hotel_train_s_kit,异步任务,hotel_train_s,,
hotel_train_s_trade_galaxy_server,交易服务,hotel_train_s,,
hotel_train_s_train_account,结算服务,hotel_train_s,,
hotel_train_s_train_interface,公共数据,hotel_train_s,,
hotel_train_s_agent_android_agent_android,Android占座协议,hotel_train_s,,
hotel_train_s_train_queryengine,基础服务后端抓取服务,hotel_train_s,,
hotel_train_s_agent_mobile_dfp_agent_mobile_dfp,dfp基础服务,hotel_train_s,,
hotel_train_s_agent_basic_service,自建基础服务,hotel_train_s,,
hotel_train_s_agent_pay_api,支付网关,hotel_train_s,,
hotel_train_s_ship,船票主系统,hotel_train_s,,
hotel_train_s_ship_mt_manage,船票管理后台,hotel_train_s,,
hotel_train_s_balance,财务中心,hotel_train_s,,
hotel_train_fe,火车票前端,hotel_train,,
hotel_train_ios,火车票iOS客户端,hotel_train,,
hotel_train_android,火车票Android客户端,hotel_train,,
hotel_os,境外度假,hotel,,
hotel_os_s,境外度假服务端,hotel_os,,
hotel_os_s_deal,交易线,hotel_os_s,,
hotel_os_s_info,信息线,hotel_os_s,,
hotel_os_s_shop,购物线,hotel_os_s,,
hotel_os_s_search,搜索,hotel_os_s,,
hotel_os_s_fun,娱乐线,hotel_os_s,,
hotel_os_s_ad,境外平台广告,hotel_os_s,,
hotel_os_c,境外度假Android客户端,hotel_os,,
hotel_os_ios,境外度假iOS客户端,hotel_os,,
hotel_os_fe,境外度假前端,hotel_os,,
hotel_os_ipeen,境外度假ipeen业务,hotel_os,,
hotel_os_ipeen_s,ipeen业务服务端,hotel_os_ipeen,,
hotel_os_ipeen_android,ipeen业务Android客户端,hotel_os_ipeen,,
hotel_hbdata,酒旅数据,hotel,,
hotel_hbdata_bi,BI工具,hotel_hbdata,,
hotel_hbdata_dm,数据挖掘,hotel_hbdata,,
hotel_hbdata_ssr,酒店搜排推,hotel_hbdata,,
hotel_hbdata_cs,竞对抓取,hotel_hbdata,,
hotel_hbdata_tssr,旅游搜排推,hotel_hbdata,,
hotel_bep,商企通,hotel,,
